id,sentence,e1_pos,e2_pos,relation,label
176,Our experience extends years continued promotion this archipelago nine islands,7,9,"Component-Whole(e2,e1)",12
177,To separate the solids at the end the experiment the clay was contained in permeable membrane tubing,10,15,"Content-Container(e1,e2)",17
178,This machine is blowing sand into molds,4,6,"Entity-Destination(e1,e2)",7
179,The cultivation consisted plowing the crop with plow,1,7,Other,0
180,The final chapter offers theological survey the use the formula,2,4,"Message-Topic(e1,e2)",1
181,She mentioned the scandal caused by BBC documentary on the treatment children in home asked how the state had responded these,3,7,"Cause-Effect(e2,e1)",10
182,Isolated fractures the shaft the ulna without other fractures often result when the forearm is raised fend off blow,3,5,"Component-Whole(e1,e2)",11
183,We have placed the candidates into roles,4,6,Other,0
184,Frequent agitations throw academic life into disarray,4,6,Other,0
185,Still other examples the potter ceramics are clad in slinky assortments tassels beads,4,5,"Product-Producer(e2,e1)",4
186,The nasal cavity birds contains turbinates Bang cartilaginous structures that are thought have as one their functions water recovery from air,1,3,"Component-Whole(e1,e2)",11
187,Thus in simple words tendon attaches muscle bone,4,6,Other,0
188,Positions were denoted by black dots along the tracks the adjacent numbers indicating the day the month,0,4,Other,0
189,The World Health Organization WHO found that the radiation release from the Chernobyl accident was times that the Hiroshima Nagasaki,8,13,"Cause-Effect(e2,e1)",10
190,My dog ate cellophane bag full dog treats on Tuesday,3,6,"Content-Container(e2,e1)",18
191,The owl held the mouse in its claw,1,7,"Component-Whole(e2,e1)",12
192,This is how grain was delivered the wooden grain bins hay was put inside the upper part the rock barn,10,19,"Entity-Destination(e1,e2)",7
193,Police foiled an attempt kill an artist who drew cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world,6,9,"Product-Producer(e2,e1)",4
194,When Woody Harrelson received copy the screenplay for Zombieland last year he stuffed the paper into his duffel bag unread scripts promptly forgot about it,14,18,"Entity-Destination(e1,e2)",7
195,The city is treasure trove terrific libraries interesting museums wonderful Victorian architecture complemented by the incomparable work Scotland greatest architect Charles Rennie Mackintosh,3,6,"Member-Collection(e2,e1)",16
196,We leave the bail the reel open place your the rod in double mounted set up as shown on the facing page,3,5,"Component-Whole(e1,e2)",11
197,The Mapungubwe Collection at the University Pretoria features remarkable works from the largely forgotten kingdom Mapungubwe that flourished near the confluence the Limpopo Shashe Rivers between AD,9,14,"Entity-Origin(e1,e2)",13
198,Also in the midst the confusion caused by the coup the issuing militant posters was way for artists organizations declare their active engagement against the rebellion,5,9,"Cause-Effect(e2,e1)",10
199,The title is taken from an book by Virginia planter senator named John Taylor,6,9,"Product-Producer(e1,e2)",3
200,In the same way society is built up many individuals,4,9,"Member-Collection(e2,e1)",16
201,The scientist approached the big cat with notepad pencil in her hands,1,7,"Instrument-Agency(e2,e1)",6
202,The bottom photo is from the New York public library,2,9,"Entity-Origin(e1,e2)",13
203,The accident caused major traffic snarl on the arterial road,1,5,"Cause-Effect(e1,e2)",9
204,Two plane crash survivors have paid special visit the Hutt Hospital surgeon whose team helped their shattered faces eight years ago,11,13,Other,0
205,The dress was in trunk dated summer along with several other dresses from this same period,1,4,"Content-Container(e1,e2)",17
206,The various forms idealistic materialistic agnostic philosophies are subject the tension caused by the indicated situation,10,15,"Cause-Effect(e2,e1)",10
207,From him Cain learns that Alexis had survived his suicide became the leader that organization renaming it Delilah,12,14,"Member-Collection(e1,e2)",15
208,James Hagler Venice director historical resources has completed picture book the area buildings,3,9,"Product-Producer(e2,e1)",4
209,A program has fetched data into host variable arrays,4,8,"Entity-Destination(e1,e2)",7
210,Recently only insignificant things arrive,3,5,"Entity-Destination(e1,e2)",7
211,Tissue damage electrode corrosion are both with high charge density stimulation,2,3,Other,0
212,Two Walters fingers are inside the koala pouch,6,7,"Component-Whole(e2,e1)",12
213,In former residence your writer had an atrium containing duel doves moles numbering,9,11,"Member-Collection(e2,e1)",16
214,To stand up the wind umbrella frames are strong yet flexible,5,6,"Component-Whole(e2,e1)",12
215,Contractions the diaphragm are caused by stimulation the vagus nerve either by the brain or by irritation anywhere along the length the nerve,0,16,"Cause-Effect(e2,e1)",10
216,A minute plane drive from runway terminal is uncommon,2,5,"Entity-Origin(e1,e2)",13
217,The geometric skeleton is derived from static object using an implicit method,2,7,"Entity-Origin(e1,e2)",13
218,The filmmakers dug large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan How collapse on the Telmarines,1,4,"Product-Producer(e2,e1)",4
219,It is monthly report providing opinion advice on current United States government contract issues,3,5,"Message-Topic(e1,e2)",1
220,Governments frightened losing votes resolved the crisis through subsidization,0,8,"Instrument-Agency(e2,e1)",6
221,For Christmas Daniel gave Kelly Tiffany bracelet for Valentine Day he bought diamond necklace,12,13,Other,0
222,We also passed wake turkey buzzards I was again glad not be driving because my car I both have shaky nerves still from the Great Turkey Buzzard Incident,3,5,"Member-Collection(e2,e1)",16
223,Plantar warts are caused by virus that infects the outer layer skin on the soles the feet,1,5,"Cause-Effect(e2,e1)",10
224,The sensor was manufactured in cost effective thin film process,1,9,Other,0
225,The putative left we see is just as eager as the nominal right brand crime violence with any hint political motivation as terrorism therefore remove it from the ordinary processes criminal law sanction which are already quite draconian in these United States animate parallel systems harsher surveillance punishment for the political such criminals,51,52,Other,0
226,The list the Most Beautiful Women posted on the official Web site the Australian Open was filled with sleek thin images,1,20,"Component-Whole(e2,e1)",12
227,The rope the was there in perfect state coiled up,1,3,"Component-Whole(e1,e2)",11
228,One man pours on liquid while the other man stirs the mixture with wooden paddle or spatula,8,14,"Instrument-Agency(e2,e1)",6
229,Besides the Chinese case also challenges some ideas RSS theory including the concept alliance different social classes the role working class in democratization,13,16,"Member-Collection(e2,e1)",16
230,As the US Colombian military put pressure on drug traffickers operations are migrating into nearby countries,10,14,"Entity-Destination(e1,e2)",7
231,A conical cover preserved in ewer in Athens accords extremely well with the form these vessels,2,5,"Content-Container(e1,e2)",17
232,The front the boring machine contains picks that workers guide with the use laser projections on video screens,4,6,"Component-Whole(e2,e1)",12
233,They incorporated the immigrant flows into microsimulation,3,6,"Entity-Destination(e1,e2)",7
234,I have always felt so relieved that Roy the boys had left the creek,9,13,"Entity-Origin(e1,e2)",13
235,The first report the adaptation strategies the EU member states,2,5,"Message-Topic(e1,e2)",1
236,Cook discoveries prepared the way for establishment new penal colony by the colonial power,9,13,"Product-Producer(e1,e2)",3
237,This process passes on health gene the next generation,5,8,Other,0
238,A telescope assists the eye chiefly in two ways,1,4,"Instrument-Agency(e1,e2)",5
239,The boy accidentally went into the girl bathroom,1,7,"Entity-Destination(e1,e2)",7
240,The document is stored in the proper folder as text,1,7,"Content-Container(e1,e2)",17
241,Unfortunately they just had brief mentions more pages were spent describing the clubs scene,7,13,"Message-Topic(e1,e2)",1
242,The map the left shows snapshot weather conditions in selected towns across Italy,6,7,Other,0
243,I reflected on this while passing passel pigeons parading on Loop sidewalk the other day,6,7,"Member-Collection(e2,e1)",16
244,The retailers poured resources into promoting wine,3,6,Other,0
245,Fiscus was the treasury the Roman emperor because the money was stored in baskets,9,13,"Content-Container(e1,e2)",17
246,Hundreds toxic chemicals were released into the atmosphere,2,7,"Entity-Destination(e1,e2)",7
247,The final part the court is completed by the chapel begun by Mary I in in memory her father,2,9,Other,0
248,Mobile lost in the ocean was found in cod belly,0,9,"Content-Container(e1,e2)",17
249,The flyer advertised workshop being conducted at the university this summer,1,3,"Message-Topic(e1,e2)",1
250,The hotel arose from the reconstruction historical building,1,5,Other,0
251,This revised edition incorporates new research findings advances in the treatment genetic disorders including therapies,2,6,"Message-Topic(e1,e2)",1
252,Fish swim in shoal but they fall one by one,0,3,"Member-Collection(e1,e2)",15
253,All bookmarks have been exported single file,1,6,"Entity-Destination(e1,e2)",7
254,The team used the nanoparticle build therapies for treating individuals with cardiovascular disease,1,4,"Instrument-Agency(e2,e1)",6
255,Tobia made stunning revelation in phone call in September,3,5,"Message-Topic(e2,e1)",2
256,It was also home bale snapping turtles siege great blue herons,7,10,"Member-Collection(e2,e1)",16
257,The indenter is pushed into the material both the load displacement increase,1,6,"Entity-Destination(e1,e2)",7
258,The latest issue Five Bells has been sent poet union members,2,10,"Entity-Destination(e1,e2)",7
259,Cruisers large yachts have much more sophisticated fittings that that require more skills,0,7,"Component-Whole(e2,e1)",12
260,The accused killed the victim with kirpan separated the head from the body threw it in canal near Nabha,1,6,"Instrument-Agency(e2,e1)",6
261,There are enough gills there serve the oxygen demands an entire shiver whale sharks,11,13,"Member-Collection(e2,e1)",16
262,The inhabitants send messages each other by placing the message in capsule placing the capsule in message tube,14,17,"Entity-Destination(e1,e2)",7
263,The finished doll was made with stockings for the face baby sock for the body,2,6,"Component-Whole(e2,e1)",12
264,It is the document repository extremely valuable archival documents illustrating the history the Spanish Empire,8,11,"Message-Topic(e1,e2)",1
265,This all around immature nice guy is above all choreographer having devised the moves the film adaptation Hairspray,9,13,Other,0
266,The state has assembled $ million incentive package lure the project which could mean as many as jobs,1,7,Other,0
267,When you strike someone with bottle full carbonated beverage apparently vacuum is created then quickly refills which is somehow capable breaking the glass,5,7,"Content-Container(e2,e1)",18
268,Welding wire is coiled in pail used as an electrode in an automatic or semiautomatic welding operation,1,5,"Content-Container(e1,e2)",17
269,The stong earthquake caused blackout on the sound stage some the violins,2,4,"Cause-Effect(e1,e2)",9
270,Various configurations have been illustrated in the drawings,1,7,"Message-Topic(e2,e1)",2
271,Avci was the head the chief the police in Diyarbakir between,3,7,"Member-Collection(e1,e2)",15
272,The series comprises some the previous books as well as new titles,1,11,"Component-Whole(e2,e1)",12
273,The agitating students also put up barricade on the highway disrupting vehicular movement for about two hours from,2,6,"Product-Producer(e2,e1)",4
