id,sentence,e1_pos,e2_pos,label
153,The chapters in this book investigate issues and communities .,1,6,"Message-Topic(e1,e2)"
154,He rescheduled the birthday party to the next day .,4,7,"Entity-Destination(e1,e2)"
155,The bacterial aerosol was generated from an up-draft nebulizer .,1,8,"Product-Producer(e2,e1)"
156,"People have travelled into space , but not the deep ocean .",0,4,"Entity-Destination(e1,e2)"
157,"For those of you who are unsure what Afrikaans is , it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya , Indonesia , Madagascar and West Africa .",31,36,"Entity-Origin(e1,e2)"
158,"Beaver dams are created as a protection against predators , such as coyotes , wolves and bears , and to provide easy access to food during winter .",0,1,"Product-Producer(e2,e1)"
159,"So , the theme of the play has to do with religion .",6,11,"Message-Topic(e1,e2)"
160,There has been intense debate over the circles ' origins .,4,9,"Message-Topic(e1,e2)"
161,I have recently developed creases in my ear lobes .,7,8,"Component-Whole(e2,e1)"
162,"Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor , the commodity was largely used by companies making Indian Made Foreign Liquor ( IMFL ) .",3,12,"Entity-Origin(e2,e1)"
163,Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane .,2,10,"Instrument-Agency(e2,e1)"
164,The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast .,1,5,"Component-Whole(e2,e1)"
165,"The charge is the source of an electric field , which carries energy-the electrostatic self-energy .",1,8,"Cause-Effect(e1,e2)"
166,The tardiness however has been caused by the arrival of my old man ; who in true Bloodworth fashion has had me walking everywhere .,1,8,"Cause-Effect(e2,e1)"
167,The key was in a chest .,1,5,"Content-Container(e1,e2)"
168,The residue was distilled from an Arbuzov flask .,1,7,"Entity-Origin(e1,e2)"
169,"As the Gondorians moved forward the evil force started to withdraw , unleashing a rain of deadly arrows into the heavily armoured Gondorians .",14,17,"Member-Collection(e2,e1)"
170,It is a medieval Latin manuscript relating the early history of the Isle of Man .,5,9,"Message-Topic(e1,e2)"
171,The river had now turned into full flood after the deluge of rain a few days ago .,7,10,"Cause-Effect(e2,e1)"
172,"He stopped rowing when the boat was opposite to the paddle wheel of the steamer , and the steamer stopped her engine at the same time .",18,21,"Component-Whole(e2,e1)"
173,This is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up .,3,10,"Instrument-Agency(e2,e1)"
174,"This American-style wheat ale is a light , unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass .",2,3,"Entity-Origin(e2,e1)"
175,The car left the plant .,1,4,"Entity-Origin(e1,e2)"
176,Our experience extends to 15 years continued promotion of this archipelago of nine islands .,10,13,"Component-Whole(e2,e1)"
177,"To separate the solids at the end of the experiment , the clay was contained in a semi- permeable membrane tubing .",12,19,"Content-Container(e1,e2)"
178,This machine is blowing sand into molds .,4,6,"Entity-Destination(e1,e2)"
179,The cultivation consisted of plowing the crop with a double-shovel plow .,1,10,Other
180,The final chapter offers a theological survey of the use of the formula .,2,5,"Message-Topic(e1,e2)"
181,She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these .,3,8,"Cause-Effect(e2,e1)"
182,"Isolated fractures of the shaft of the ulna , without other fractures , often result when the forearm is raised to fend off a blow .",4,7,"Component-Whole(e1,e2)"
183,We have placed the candidates into roles .,4,6,Other
184,Frequent agitations throw academic life into disarray .,4,6,Other
185,Still other examples of the potter 's ceramics are clad in slinky assortments of tassels and beads .,5,7,"Product-Producer(e2,e1)"
186,"The nasal cavity of birds contains turbinates ( Bang 1971 ) , cartilaginous structures that are thought to have as one of their functions water recovery from air .",1,4,"Component-Whole(e1,e2)"
187,"Thus , in simple words , a tendon attaches a muscle to a bone .",7,10,Other
188,"Positions were denoted by black dots along the tracks , the adjacent numbers indicating the day of the month .",0,4,Other
189,The World Health Organization ( WHO ) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki .,10,15,"Cause-Effect(e2,e1)"
190,My dog ate a cellophane bag full of dog treats on Tuesday .,4,8,"Content-Container(e2,e1)"
191,The owl held the mouse in its claw .,1,7,"Component-Whole(e2,e1)"
192,This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn .,12,22,"Entity-Destination(e1,e2)"
193,Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world .,7,11,"Product-Producer(e2,e1)"
194,"When Woody Harrelson received a copy of the screenplay for `` Zombieland '' last year , he stuffed the paper into his duffel bag of unread scripts and promptly forgot about it .",19,23,"Entity-Destination(e1,e2)"
195,"The city is a treasure trove of terrific libraries , interesting museums , and wonderful Victorian architecture complemented by the incomparable work of Scotland 's greatest architect , Charles Rennie Mackintosh .",4,8,"Member-Collection(e2,e1)"
196,We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page .,3,6,"Component-Whole(e1,e2)"
197,The Mapungubwe Collection at the University of Pretoria features remarkable works from the largely forgotten kingdom of Mapungubwe that flourished near the confluence of the Limpopo and Shashe Rivers between 1000 and 1300 AD .,10,15,"Entity-Origin(e1,e2)"
198,"Also , in the midst of the confusion caused by the coup , the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion .",7,11,"Cause-Effect(e2,e1)"
199,The title is taken from an 1813 book by a Virginia planter and senator named John Taylor .,7,11,"Product-Producer(e1,e2)"
200,"In the same way , a society is built up of many individuals .",6,12,"Member-Collection(e2,e1)"
201,The scientist approached the big cat with a notepad and a pencil in her hands .,1,8,"Instrument-Agency(e2,e1)"
202,The bottom photo is from the New York public library .,2,9,"Entity-Origin(e1,e2)"
203,The accident caused a major traffic snarl on the arterial road .,1,6,"Cause-Effect(e1,e2)"
204,Two plane crash survivors have paid a special visit to the Hutt Hospital surgeon whose team helped to re-build their shattered faces eight years ago .,13,15,Other
205,The dress was in a trunk dated summer of 1938 along with several other dresses from this same period .,1,5,"Content-Container(e1,e2)"
206,"The various forms of idealistic , materialistic and agnostic philosophies are subject to the tension caused by the indicated situation .",14,19,"Cause-Effect(e2,e1)"
207,"From him , Cain learns that Alexis had survived his suicide and became the leader of that organization , renaming it Delilah .",14,17,"Member-Collection(e1,e2)"
208,"James Hagler , Venice 's director of historical resources , has completed a picture book of the area 's buildings .",5,14,"Product-Producer(e2,e1)"
209,A program has fetched data into host variable arrays .,4,8,"Entity-Destination(e1,e2)"
210,"Recently , only insignificant things arrive to theatres .",4,7,"Entity-Destination(e1,e2)"
211,Tissue damage and electrode corrosion are both associatcd with high charge density stimulation .,3,4,Other
212,Two of Walters 's fingers are inside the koala 's pouch .,8,10,"Component-Whole(e2,e1)"
213,"In a former residence , your writer had an atrium containing a duel of doves moles numbering 22 .",12,15,"Member-Collection(e2,e1)"
214,"To stand up to the wind , umbrella frames are strong yet flexible .",7,8,"Component-Whole(e2,e1)"
215,Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve .,0,18,"Cause-Effect(e2,e1)"
216,A 15 minute plane drive from runway to terminal is uncommon .,3,6,"Entity-Origin(e1,e2)"
217,The geometric skeleton is derived from a static object using an implicit 'directions ' method .,2,8,"Entity-Origin(e1,e2)"
218,The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan 's How to collapse on the Telmarines .,1,5,"Product-Producer(e2,e1)"
219,It is a monthly report providing opinion and advice on current United States government contract issues .,4,6,"Message-Topic(e1,e2)"
220,"Governments , frightened of losing votes , resolved the crisis through subsidization .",0,11,"Instrument-Agency(e2,e1)"
221,"For Christmas , Daniel gave Kelly a Tiffany bracelet , and for Valentine 's Day he bought a diamond necklace .",18,19,Other
222,"We also passed a wake of turkey buzzards , and I was again glad to not be driving , because my car and I both have shaky nerves still , from the Great Turkey Buzzard Incident of '08 .",4,7,"Member-Collection(e2,e1)"
223,Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet .,1,6,"Cause-Effect(e2,e1)"
224,The sensor was manufactured in a cost effective thin film process .,1,10,Other
225,"The putative left , we see , is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism , and therefore to remove it from the ordinary processes of criminal law and sanction , which are already quite draconian in these United States , and to animate parallel systems of harsher surveillance and punishment for the political compeers of such criminals .",67,70,Other
226,"The list of the 10 Most Beautiful Women posted on the official Web site of the 2009 Australian Open was filled with sleek , thin images .",1,25,"Component-Whole(e2,e1)"
227,The rope of the prayer-bell was there in a perfect state and coiled up .,1,4,"Component-Whole(e1,e2)"
228,One man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula .,9,16,"Instrument-Agency(e2,e1)"
229,"Besides , the Chinese case also challenges some ideas of RSS theory , including the concept of alliance of different social classes and the role of working class in democratization .",17,21,"Member-Collection(e2,e1)"
230,"As the US and Colombian military put pressure on drug traffickers , operations are migrating into nearby countries .",12,16,"Entity-Destination(e1,e2)"
231,A conical cover preserved in a ewer in Athens accords extremely well with the form of these vessels .,2,6,"Content-Container(e1,e2)"
232,The front of the boring machine contains tungsten-tipped picks that workers guide with the use of laser projections on video screens .,5,8,"Component-Whole(e2,e1)"
233,They incorporated the immigrant flows into microsimulation .,3,6,"Entity-Destination(e1,e2)"
234,I have always felt so relieved that Roy and the boys had left the creek .,10,14,"Entity-Origin(e1,e2)"
235,The first report analyses the adaptation strategies of the EU member states .,2,6,"Message-Topic(e1,e2)"
236,Cook 's discoveries prepared the way for establishment of a new penal colony by the colonial power .,12,16,"Product-Producer(e1,e2)"
237,This process passes on a health gene to the next generation .,6,10,Other
238,A telescope assists the eye chiefly in two ways .,1,4,"Instrument-Agency(e1,e2)"
239,The boy accidentally went into the girl 's bathroom .,1,8,"Entity-Destination(e1,e2)"
240,The document is stored in the proper folder as a text .,1,7,"Content-Container(e1,e2)"
241,"Unfortunately , they just had brief mentions and more pages were spent describing the clubs scene .",9,15,"Message-Topic(e1,e2)"
242,The map to the left shows a snapshot of weather conditions in selected towns across Italy .,9,10,Other
243,I reflected on this while passing a passel of pigeons parading on a Loop sidewalk the other day .,7,9,"Member-Collection(e2,e1)"
244,The retailers poured resources into promoting low-alcohol wine .,3,7,Other
245,"Fiscus was the treasury of the Roman emperor , so-called because the money was stored in baskets .",12,16,"Content-Container(e1,e2)"
246,Hundreds of toxic chemicals were released into the atmosphere .,3,8,"Entity-Destination(e1,e2)"
247,"The final part of the court is completed by the chapel , begun by Mary I in 1554 in memory of her father .",2,10,Other
